x,y,z,r,g,b,class,instance_id
8.179900,-1.929300,50.487900,240,249,249,floor,0
8.180400,-1.955200,50.488499,240,248,247,floor,0
8.180700,-1.956400,50.488701,239,248,245,floor,0
8.180200,-1.993800,50.488602,234,243,240,floor,0
8.300600,-1.308800,50.516800,255,236,224,floor,0
8.235300,-1.306700,50.473099,247,242,235,floor,0
8.155600,-1.306400,50.393398,253,250,244,floor,0
8.300700,-1.363900,50.499901,255,240,229,floor,0
8.300700,-1.379300,50.499901,255,241,229,floor,0
8.290300,-1.404900,50.500599,255,242,230,floor,0
8.275500,-1.418200,50.500801,255,243,230,floor,0
8.290400,-1.435600,50.500702,255,241,229,floor,0
8.272300,-1.470400,50.500500,253,255,255,floor,0
8.280500,-1.487600,50.500599,255,255,255,floor,0
8.277000,-1.504600,50.499901,255,255,255,floor,0
8.273900,-1.528200,50.499699,255,255,255,floor,0
8.566400,-1.582200,50.721199,223,210,191,floor,0
8.270100,-1.550400,50.499802,255,255,255,floor,0
8.563300,-1.622300,50.716900,232,229,217,floor,0
8.571300,-1.629900,50.713501,199,197,185,floor,0
8.258400,-1.615800,50.497601,240,254,252,floor,0
8.256200,-1.635800,50.497601,239,250,250,floor,0
8.250300,-1.660000,50.496300,227,239,232,floor,0
8.247300,-1.682800,50.495098,222,234,225,floor,0
8.237200,-1.700800,50.489201,210,213,213,floor,0
8.235900,-1.707400,50.488800,227,232,230,floor,0
8.232400,-1.736200,50.488998,255,255,255,floor,0
8.232000,-1.744900,50.489300,255,255,255,floor,0
8.228800,-1.767800,50.489101,254,255,255,floor,0
8.229900,-1.793500,50.489700,255,255,255,floor,0
8.227800,-1.816800,50.489300,254,255,255,floor,0
8.227700,-1.825700,50.489300,255,255,255,floor,0
8.225700,-1.853200,50.489498,255,255,255,floor,0
8.225500,-1.863300,50.489399,254,255,255,floor,0
8.224800,-1.895500,50.489101,255,255,255,floor,0
8.224600,-1.899300,50.489601,255,255,255,floor,0
8.223100,-1.933100,50.489799,254,255,255,floor,0
8.223000,-1.938600,50.489201,254,255,255,floor,0
8.222500,-1.959700,50.488899,255,255,255,floor,0
8.221400,-1.988800,50.489399,255,255,255,floor,0
8.483600,-1.302600,50.587898,255,228,216,floor,0
8.398500,-1.302600,50.552399,255,228,217,floor,0
8.309900,-1.304700,50.482899,255,239,228,floor,0
8.226100,-1.303600,50.411400,247,244,238,floor,0
8.338600,-1.359200,50.508400,255,239,228,floor,0
8.344600,-1.371700,50.509800,255,239,228,floor,0
8.349400,-1.403000,50.509899,255,241,229,floor,0
8.344400,-1.421300,50.507801,235,226,219,floor,0
8.341500,-1.439000,50.508202,233,224,218,floor,0
8.332600,-1.453600,50.507099,255,241,229,floor,0
8.333100,-1.468000,50.506599,237,228,221,floor,0
8.331900,-1.487700,50.506401,255,246,234,floor,0
8.309400,-1.515000,50.499001,255,255,255,floor,0
8.312200,-1.530500,50.498501,255,255,255,floor,0
8.312100,-1.541100,50.498501,255,255,255,floor,0
8.586500,-1.607400,50.708900,230,226,213,floor,0
8.591300,-1.614300,50.704498,212,210,196,floor,0
8.304100,-1.601200,50.499699,255,255,255,floor,0
8.302200,-1.617500,50.500301,255,255,255,floor,0
8.299600,-1.648000,50.500401,254,255,255,floor,0
8.299400,-1.655300,50.500198,255,255,255,floor,0
8.297500,-1.671800,50.500900,254,255,255,floor,0
8.294300,-1.703400,50.500401,254,255,255,floor,0
8.292700,-1.721900,50.500301,254,255,255,floor,0
8.291700,-1.726800,50.500401,254,255,255,floor,0
8.289300,-1.761400,50.500099,254,255,255,floor,0
8.288200,-1.779200,50.500599,255,255,255,floor,0
8.287100,-1.784200,50.500099,254,255,255,floor,0
8.284200,-1.807300,50.499901,255,255,255,floor,0
8.284100,-1.835500,50.500000,255,255,255,floor,0
8.283200,-1.846300,50.499901,255,255,255,floor,0
8.281600,-1.870600,50.499802,255,255,255,floor,0
8.281400,-1.896100,50.499802,255,255,255,floor,0
8.280500,-1.903400,50.499699,255,255,255,floor,0
8.277600,-1.930500,50.499500,255,255,255,floor,0
8.280100,-1.943500,50.499599,255,255,255,floor,0
8.278200,-1.965700,50.499199,255,255,255,floor,0
8.279100,-1.992500,50.499199,255,255,255,floor,0
8.565600,-1.303100,50.626499,255,225,213,floor,0
8.472200,-1.302500,50.575298,255,229,217,floor,0
8.385800,-1.302600,50.517502,255,235,224,floor,0
8.321700,-1.302500,50.458199,255,238,228,floor,0
8.417500,-1.357800,50.520302,231,223,216,floor,0
8.410900,-1.378700,50.520199,237,232,225,floor,0
8.413400,-1.383200,50.520802,255,238,228,floor,0
8.383500,-1.400000,50.509399,255,241,230,floor,0
8.383700,-1.422900,50.509499,255,239,228,floor,0
8.379100,-1.441300,50.509899,255,243,232,floor,0
8.379700,-1.468000,50.510502,255,244,233,floor,0
8.379400,-1.471700,50.510101,255,244,233,floor,0
8.375000,-1.505200,50.510601,255,246,235,floor,0
8.365900,-1.516600,50.510502,236,243,240,floor,0
8.371400,-1.532900,50.510799,245,244,239,floor,0
8.354500,-1.546800,50.509399,242,235,229,floor,0
8.606000,-1.604100,50.696999,216,214,196,floor,0
8.360100,-1.593200,50.510201,254,255,255,floor,0
8.357900,-1.613900,50.510399,254,255,255,floor,0
8.356100,-1.629000,50.509701,254,255,255,floor,0
8.354600,-1.648200,50.509998,253,255,255,floor,0
8.353200,-1.660800,50.509701,253,255,255,floor,0
8.350200,-1.679300,50.509499,252,255,255,floor,0
8.348800,-1.694000,50.509300,253,255,255,floor,0
8.344500,-1.721600,50.508499,246,255,255,floor,0
8.343800,-1.735000,50.508400,248,255,254,floor,0
8.341800,-1.759300,50.508301,246,255,254,floor,0
8.338000,-1.776900,50.507401,246,255,254,floor,0
8.336800,-1.797700,50.506802,245,255,254,floor,0
8.334800,-1.808200,50.506599,252,255,254,floor,0
8.332500,-1.834300,50.506302,247,253,250,floor,0
8.332400,-1.854000,50.506401,245,250,245,floor,0
8.330800,-1.878600,50.505501,238,242,238,floor,0
8.329600,-1.889100,50.505001,238,240,236,floor,0
8.328200,-1.914900,50.505001,229,233,223,floor,0
8.328800,-1.928500,50.505199,228,231,228,floor,0
8.325900,-1.943700,50.503601,222,227,213,floor,0
8.325500,-1.959700,50.503300,222,226,220,floor,0
8.316600,-1.988100,50.497299,241,243,243,floor,0
8.664000,-1.312000,50.674999,201,220,210,floor,0
8.552500,-1.300500,50.602200,229,222,214,floor,0
8.483300,-1.302900,50.545101,255,229,218,floor,0
8.406200,-1.303200,50.502499,255,236,226,floor,0
8.320700,-1.303400,50.440800,255,239,230,floor,0
8.459200,-1.357900,50.522900,232,224,217,floor,0
8.455900,-1.376000,50.524101,233,225,218,floor,0
8.449900,-1.403900,50.523701,255,239,228,floor,0
8.444900,-1.423000,50.522499,233,225,218,floor,0
8.436500,-1.441100,50.522499,236,228,221,floor,0
8.433300,-1.453200,50.523800,237,228,221,floor,0
8.440400,-1.466600,50.523602,255,243,232,floor,0
8.434400,-1.491900,50.522499,255,241,230,floor,0
8.430700,-1.504900,50.522301,240,231,224,floor,0
8.427800,-1.530900,50.522099,241,232,225,floor,0
8.421600,-1.545100,50.521400,244,237,231,floor,0
8.421700,-1.556000,50.521999,244,238,232,floor,0
8.417200,-1.582500,50.519798,244,235,228,floor,0
8.413900,-1.598000,50.519501,246,239,233,floor,0
8.385300,-1.622000,50.510101,255,255,255,floor,0
8.392700,-1.633400,50.508900,254,255,255,floor,0
8.391200,-1.659200,50.508999,255,255,255,floor,0
8.389100,-1.664800,50.508900,255,255,255,floor,0
8.387800,-1.696300,50.509300,254,255,255,floor,0
8.386800,-1.708700,50.509998,254,255,255,floor,0
8.385800,-1.720700,50.509602,255,255,255,floor,0
8.384100,-1.741600,50.509399,255,255,255,floor,0
8.383000,-1.765400,50.509998,255,255,255,floor,0
8.382100,-1.776500,50.509701,254,255,255,floor,0
8.379900,-1.807100,50.509701,253,255,255,floor,0
8.378700,-1.825700,50.509602,254,255,255,floor,0
8.456200,-1.845300,50.580898,248,239,232,floor,0
8.376100,-1.855100,50.509201,254,255,255,floor,0
8.375300,-1.866300,50.509499,255,255,255,floor,0
8.375500,-1.889200,50.509499,254,255,255,floor,0
8.373300,-1.919400,50.508999,255,255,255,floor,0
8.372100,-1.925700,50.509300,255,255,255,floor,0
8.370500,-1.946800,50.509399,255,255,255,floor,0
8.373000,-1.966700,50.509102,254,254,255,floor,0
8.372700,-1.976400,50.509399,255,255,255,floor,0
8.713300,-1.308500,50.676701,227,218,209,floor,0
8.664400,-1.312200,50.654598,203,221,212,floor,0
8.552100,-1.302400,50.569199,255,230,219,floor,0
8.474100,-1.301400,50.504501,230,223,217,floor,0
8.399300,-1.303200,50.462299,255,240,230,floor,0
8.513400,-1.357800,50.531300,255,233,223,floor,0
8.507300,-1.373700,50.532101,233,225,219,floor,0
8.506000,-1.386600,50.533298,237,231,225,floor,0
8.501500,-1.417800,50.531799,236,227,221,floor,0
8.496500,-1.426300,50.529400,236,228,221,floor,0
8.494100,-1.441000,50.530102,255,241,230,floor,0
8.463600,-1.465700,50.522800,255,243,232,floor,0
8.472200,-1.481800,50.521900,255,244,233,floor,0
8.471700,-1.496600,50.521301,255,244,234,floor,0
8.472200,-1.512300,50.523998,243,237,231,floor,0
8.465000,-1.526000,50.522900,243,237,231,floor,0
8.462500,-1.553500,50.523300,247,242,237,floor,0
8.461300,-1.572200,50.522701,245,239,233,floor,0
8.457100,-1.580900,50.523102,247,243,238,floor,0
8.453800,-1.600300,50.522499,246,239,234,floor,0
8.451800,-1.630000,50.521999,247,242,237,floor,0
8.438700,-1.645400,50.521301,255,254,242,floor,0
8.443300,-1.660800,50.521198,255,255,243,floor,0
8.440800,-1.673800,50.521999,247,242,237,floor,0
8.442800,-1.701400,50.522800,251,255,255,floor,0
8.443600,-1.707300,50.521702,250,255,255,floor,0
8.438200,-1.735600,50.521599,251,255,254,floor,0
8.438900,-1.743600,50.521500,250,255,254,floor,0
8.435200,-1.773600,50.521000,249,255,252,floor,0
8.435900,-1.780900,50.520802,248,255,255,floor,0
8.432800,-1.808700,50.520401,248,255,255,floor,0
8.431900,-1.826900,50.520199,248,255,252,floor,0
8.456100,-1.832700,50.564899,250,241,235,floor,0
8.428400,-1.857000,50.518799,246,255,251,floor,0
8.427400,-1.881700,50.518902,250,255,255,floor,0
8.426600,-1.886300,50.518600,249,255,254,floor,0
8.424500,-1.920800,50.518002,254,255,255,floor,0
8.424400,-1.929400,50.517899,255,255,255,floor,0
8.425000,-1.940600,50.518200,255,255,255,floor,0
8.423600,-1.971200,50.518002,254,254,255,floor,0
8.424500,-1.985600,50.518101,255,255,255,floor,0
8.777300,-1.307200,50.691700,190,219,212,floor,0
8.708500,-1.308700,50.637600,230,225,215,floor,0
8.665700,-1.310800,50.625401,227,218,210,floor,0
8.553800,-1.301200,50.530300,230,223,216,floor,0
8.477400,-1.301200,50.494598,231,224,218,floor,0
8.408000,-1.307500,50.429901,237,234,229,floor,0
8.561200,-1.359700,50.541698,233,225,218,floor,0
8.544900,-1.387500,50.530899,233,225,218,floor,0
8.540800,-1.398700,50.531300,238,232,226,floor,0
8.537300,-1.423900,50.532101,239,233,227,floor,0
8.533200,-1.432600,50.531799,237,229,223,floor,0
8.533000,-1.450100,50.532001,238,230,223,floor,0
8.528800,-1.472000,50.531898,255,242,232,floor,0
8.523600,-1.493500,50.531200,255,244,233,floor,0
8.521300,-1.511700,50.531799,241,233,226,floor,0
8.518200,-1.520700,50.532398,242,233,227,floor,0
8.516000,-1.547800,50.531601,212,229,237,floor,0
8.512400,-1.558500,50.532501,244,235,229,floor,0
8.508600,-1.573100,50.530499,255,249,238,floor,0
8.494400,-1.585900,50.528500,247,242,238,floor,0
8.500100,-1.615300,50.548801,247,241,237,floor,0
8.489000,-1.624100,50.527401,247,243,238,floor,0
8.498400,-1.651900,50.535400,248,242,238,floor,0
8.492200,-1.670600,50.527401,255,255,244,floor,0
8.493100,-1.678800,50.529598,250,241,234,floor,0
8.494600,-1.699200,50.530998,249,242,237,floor,0
8.490500,-1.709200,50.528599,249,243,237,floor,0
8.477300,-1.741600,50.520699,205,208,195,floor,0
8.482300,-1.754500,50.525398,207,211,197,floor,0
8.474600,-1.761000,50.519901,253,255,255,floor,0
8.472600,-1.784100,50.520000,254,255,255,floor,0
8.471100,-1.808500,50.519901,255,255,255,floor,0
8.469800,-1.816500,50.519299,255,255,255,floor,0
8.468200,-1.842000,50.519600,255,255,255,floor,0
8.468100,-1.852300,50.519600,255,255,255,floor,0
8.464900,-1.876300,50.519402,255,255,255,floor,0
8.466100,-1.889900,50.519402,255,255,255,floor,0
8.464700,-1.904900,50.519402,255,255,255,floor,0
8.465000,-1.930500,50.519402,255,255,255,floor,0
8.464400,-1.941500,50.519402,254,254,255,floor,0
8.463800,-1.972300,50.519402,255,255,255,floor,0
8.463700,-1.977900,50.519402,254,254,255,floor,0
8.805500,-1.307000,50.695400,229,221,214,floor,0
8.781000,-1.306600,50.665298,205,220,212,floor,0
8.710300,-1.308500,50.635101,230,225,215,floor,0
8.651500,-1.307700,50.577000,254,230,220,floor,0
8.551000,-1.300600,50.506199,232,225,218,floor,0
